,year,make,model,trim,vin,odometer,grade,price,province,claim,estimate,history_report,glass_record,repair,previous_repair,accident_repair,additional_repair,rebuild,total_disclosure_amount
0,2019,ram,1500,laramie,1C6SRFJT4KN501240,"76,548",0.0,"$38,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024,ford,transit,other,1FTYE1Y82RKA09112,"59,029",0.0,"$32,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021,toyota,corolla,se,5YFB4MBEXMP058786,"60,753",3.1,"$18,200",kitchner,1153.0,0.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.0
3,2017,ford,explorer,xlt,1FM5K8D83HGC41872,"188,653",0.0,"$9,200",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2012,ford,fiesta,se,3FADP4EJ1CM205839,"132,232",0.0,"$1,250",kitchner,2429.0,0.0,2429.0,0.0,0.0,0.0,0.0,0.0,0.0,2429.0
5,2024,ford,f 150,other,1FTFW3L87RKD89393,"39,154",0.0,"$45,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024,chrysler,grand,other,2C4RC1ZG2RR166432,"52,656",0.0,"$32,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024,ram,2500,big horn,3C6UR5JL0RG409418,"44,347",0.0,"$54,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024,ram,3500,tradesman,3C63R3GL5RG346324,"13,252",0.0,"$56,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024,chrysler,grand,other,2C4RC1ZG8RR191772,"63,153",0.0,"$33,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024,chrysler,grand,other,2C4RC1ZG7RR166135,"34,751",0.0,"$35,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024,dodge,durango,gt,1C4RDJDG8RC238120,"34,253",0.0,"$41,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2023,ram,3500,limited,3C63R3SL9PG532291,"106,707",0.0,"$65,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2025,ford,explorer,other,1FMWK8GC0SGB85823,"30,960",0.0,"$55,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024,ford,transit,other,1FTBR2X8XRKB37258,"16,267",0.0,"$51,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024,ford,transit,other,1FTBR2X83RKB10578,"47,688",0.0,"$42,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024,ford,f 150,other,1FTFW1L8XRKE39045,"31,941",0.0,"$43,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2025,toyota,tundra,limited hybrid,5TFWC5DB9SX101879,"19,001",0.0,"$64,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2025,ford,f 150,other,1FTFW3L80SKD97082,"16,693",0.0,"$54,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2025,ford,f 150,other,1FTFW7LD2SFA89621,"41,965",0.0,"$82,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2013,honda,civic,lx,2HGFB2E40DH023809,"237,886",3.3,"$3,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2013,dodge,charger,sxt,2C3CDXHG8DH668288,"287,902",0.0,"$1,700",kitchner,7616.0,0.0,7616.0,0.0,0.0,0.0,0.0,0.0,0.0,7616.0
